episode,smoothed_rewards_with_game_theory
0,10.612966058415763
1,8.640183425492339
2,7.288881188082243
3,8.495033176691372
4,12.355635083402266
5,11.057532325994258
6,17.526212402522468
7,21.1770627424662
8,29.75291382996049
9,27.43134806348175
10,28.88403045486759
11,27.031068304883117
12,28.54212646547323
13,27.499684977063417
14,26.15847786158553
15,25.027588601451356
16,25.7079438872532
17,26.24263359645159
18,24.8403896907539
19,25.232777108438448
20,32.68772134768797
21,33.99630285602351
22,35.3281194229067
23,34.537430493839636
24,33.91046874174427
25,33.017862199511505
26,35.565680801179056
27,36.017032638445
28,35.87430774519949
29,36.61884781413244
30,36.30669816312297
31,37.24786608609864
32,37.084397314910305
33,37.330452128820696
34,36.35529894787544
35,36.09622813312751
36,36.567138113333
37,36.00472105393197
38,35.15809607087874
39,35.14714732593095
40,34.542984244402774
41,33.87919665838686
42,33.529596632203976
43,33.393104032192475
44,33.38852248251027
45,33.77754514189269
46,36.33150585563942
47,37.27733461623479
48,37.45112446939205
49,36.97363460632964
50,37.93174553845953
51,38.34466695600941
52,38.36617189935474
53,39.515512528557736
54,39.44072087979577
55,40.38110445032081
56,39.73519074170864
57,39.78685674667666
58,39.8597088497671
59,41.10682617938057
60,42.20422844818073
61,41.57080482300234
62,41.84518205293755
63,41.24132119432718
64,44.22806453915641
65,43.803141913660305
66,44.05114524947498
67,45.244255990238855
68,46.095339899544435
69,46.034840545927366
70,46.89074371548588
71,46.58024848916685
72,46.6211336805736
73,48.39451431752779
74,48.0483333570547
75,47.4108552876566
76,48.16844038149501
77,48.13629805738107
78,47.81485445832162
79,47.63920792579192
80,47.0999779744563
81,46.59167436513072
82,47.14155530660992
83,46.60064569847391
84,47.09852907970643
85,46.58110432296566
86,46.47110361063648
87,46.067638961179824
88,45.96128371481352
89,46.12520564634961
90,45.70437531390985
91,46.58963082443518
92,46.146186762336384
93,46.5153022547663
94,46.27243918323219
95,46.02534570003822
96,47.09101633924866
97,47.10794970527159
98,46.648273445616745
99,46.36156542156469
100,45.94460666942253
101,46.47634166926259
102,46.4785630563534
103,47.37986444875447
104,47.339039529694006
105,47.23858119368017
106,47.47158374015828
107,46.997025440347365
108,47.27956073625108
109,47.1798226615672
110,47.30860741389197
111,47.07582697529322
112,47.612422290789624
113,47.3501927010493
114,47.423505036720286
115,47.666900004465475
116,47.83169468670686
117,47.856736552601674
118,48.3451834490342
119,48.40167007116281
120,48.63037143532697
121,47.60706049354768
122,48.17232355194209
123,47.56412470150311
124,47.61017673758481
125,47.80553077514451
126,48.14643460011339
127,47.33598959099005
128,46.869857928315746
129,46.600037472859206
130,46.23409836586841
131,46.211993585638105
132,46.831764837596964
133,46.84756022709613
134,48.50839327241678
135,49.291886933873556
136,49.7295479720954
137,50.95601006488273
138,51.16879177601119
139,51.24946596720584
140,51.68566259188342
141,52.59577978187829
142,52.915618181317065
143,53.06816117836448
144,53.491529634776846
145,53.92958470814372
146,54.50346425403678
147,53.057686764876784
148,52.84917483478587
149,52.98707835121012
150,53.458142035366976
151,52.598366865655755
152,52.377178237868996
153,52.095479999533865
154,52.01363620798467
155,52.107346921373654
156,52.14963946811185
157,52.81843545404771
158,52.881568790431956
159,52.65899050447254
160,51.54983573744961
161,50.72890213448915
162,50.938301685536494
163,51.182770003150765
164,51.85973308778046
165,50.91294499443011
166,50.985392227996094
167,50.792614487552456
168,49.73624961280112
169,48.7226947045603
170,48.35922929768412
171,47.73590101488319
172,48.63132597737215
173,49.10807782907241
174,48.684327722702655
175,48.63252786375426
176,48.78015392570992
177,47.92449073508869
