episode,smoothed_rewards_without_game_theory
0,58.6397838010933
1,29.813199049660117
2,25.455095093971433
3,58.15494640119671
4,53.323345000531404
5,45.42676658869704
6,40.20774466969001
7,37.531710695932375
8,35.65696124487039
9,32.64234998165044
10,39.405298620089006
11,38.58524949211091
12,35.80985545859101
13,34.18798024231253
14,35.48815888032336
15,35.88080515489536
16,35.11484139996658
17,33.30791185037808
18,31.972172168762516
19,30.814845716395883
20,29.6903318874425
21,29.77198093842069
22,29.10369402402521
23,28.274338370495837
24,27.469317627135446
25,27.248392801578202
26,30.292953407993924
27,30.73665721162632
28,30.320871510202867
29,29.52897373868263
30,29.599313620940396
31,29.923340586108772
32,29.71587814043096
33,29.436311880723867
34,32.21984713486662
35,31.702725295378727
36,31.850756879646784
37,34.26420107517589
38,34.41617100673285
39,34.227610202209306
40,33.6126919870499
41,33.37044464737416
42,33.337375843763695
43,32.75390533705352
44,34.212870581200576
45,33.447373394685705
46,33.60429162961599
47,33.45552077258633
48,34.94998982927569
49,35.32673958154722
50,34.904152301729525
51,34.34276423046728
52,34.5132651196444
53,35.056914166630776
54,35.3853645791927
55,37.423408871978914
56,37.300796416129465
57,36.775329420967246
58,36.40687352743372
59,36.01377334166086
60,35.58446645571771
61,37.519667414742244
62,37.11617506357276
63,36.71646446558976
64,37.22475908115712
65,37.0189375365167
66,36.75089121290948
67,36.492134493215694
68,36.11095471650802
69,36.085588386895196
70,37.04120781379226
71,36.80590716532688
72,37.72096690596739
73,37.54976923184544
74,37.198949148414066
75,37.08373766890272
76,36.974299560026964
77,36.580682452950846
78,36.710586442855124
79,37.55668864116935
80,37.15567861094192
81,37.993287995940335
82,39.164077502013484
83,38.92368029206796
84,38.787624825723995
85,38.365653425945005
86,38.59916219061195
87,38.249710604655355
88,38.49800005493166
89,38.23243722433441
90,39.02570970912653
91,39.76306593250236
92,39.627322616885564
93,39.49140348133274
94,39.38030510510292
95,39.005169274952884
96,38.907633830499485
97,38.635492599952066
98,38.357193100335444
99,38.34009878418368
100,38.49856661608638
101,38.331333286179934
102,38.488805246003004
103,38.548105554873096
104,37.20780794274598
105,37.0850806507871
106,38.15113820241399
107,39.32958677657887
108,40.17234700771223
109,40.04279638944559
110,40.35081144849178
111,40.04688804858366
112,39.80565236140682
113,40.55245555172205
114,40.567252481793304
115,40.165976309871034
116,39.87585012599005
117,39.788232086338596
118,40.002526659736404
119,40.29272258617241
120,40.3458578334822
121,40.545777803577884
122,40.626722809336705
123,40.96740266192534
124,41.474076911681394
125,41.5449295492647
126,41.40484553394705
127,40.80131562655877
128,40.67293640082373
129,42.31589623942824
130,42.90290277849395
131,42.70681345188967
132,42.394547833832185
133,42.51810826498857
134,42.489209347666836
135,41.26386436976198
136,41.20838211301301
137,41.10907929420655
138,39.895555424347094
139,39.80377693556462
140,40.89557060090552
141,41.2251392368608
142,42.57366949072568
143,42.817367422147
144,42.864215479420544
145,43.107296951448454
146,43.19254770006084
147,42.81274162799006
148,42.94059817713192
149,41.956870938975214
150,43.26603647219711
151,43.20151329450894
152,43.38867427911301
153,43.124784174571005
154,43.26640681287866
155,44.006291279817404
156,42.6602595005881
157,42.38467040268157
158,42.76964760140783
159,42.708037637435055
160,42.93624855830406
161,43.14993217537645
162,41.62258784209334
163,41.81074067293964
164,41.718317932418245
165,41.34203445692708
166,41.158158692771586
167,41.00237441436761
168,42.31671693851687
169,42.23821549152706
170,42.50172027530086
171,42.1521431191674
172,42.05067068116016
173,41.37420297022278
174,41.43522178741256
175,41.87139673493858
176,41.783591277297596
177,41.89512454078154
178,41.87420975101591
179,41.55697403703545
180,40.767752511018045
181,41.23421494357783
182,40.23250298878312
183,38.9463329765981
