Text Features,Damage Features,Layering Features,Vertical Pattern,scale_factor
0.4338547,0.10431694,0.1677231,0.2941052,5.7584235072135925
0.0848314,0.35207877,0.5277932,0.03529661,3.6989325284957886
0.38377395,0.008874378,0.29655877,0.31079292,0.41161417961120605
0.33285287,0.32443932,0.25556356,0.08714425,4.976629002485424
0.47565442,0.021082725,0.23174883,0.27151394,0.6532707810401917
0.078827,0.27824736,0.30163231,0.3412933,2.6629674434661865
0.40952632,0.03956832,0.07712469,0.47378057,1.3631659746170044
0.49799362,0.39291796,0.026152328,0.08293603,3.303299695253372
0.65096277,0.1052962,0.079085365,0.16465558,1.583399772644043
0.27175653,0.33258167,0.107799515,0.2878623,4.7936756908893585
0.08984136,0.41760626,0.31875235,0.17379996,6.729763597249985
0.3279363,0.08036711,0.20070232,0.39099428,1.9150486588478088
0.21119145,0.13542822,0.38323033,0.27015,1.3214263319969177
0.3129821,0.11036996,0.24703434,0.3296136,3.596300482749939
0.21119145,0.13542822,0.38323033,0.27015,1.3214263319969177
0.32393822,0.21560733,0.22393587,0.23651859,5.475115291774273
0.04656708,0.23770016,0.31950945,0.3962233,1.5864884853363037
0.21372084,0.33905572,0.4310504,0.01617307,4.235052466392517
0.17417958,0.29154548,0.24549925,0.2887757,5.603601820766926
0.21469454,0.3295967,0.31351686,0.14219187,3.666977733373642
0.32343996,0.16103306,0.21344906,0.30207798,4.013045430183411
0.241997,0.1938236,0.23273899,0.33144045,3.9554554224014282
0.222553,0.30575442,0.18738565,0.28430694,7.107275575399399
0.32555705,0.2150933,0.1026327,0.35671696,6.801246255636215
0.43285066,0.01859751,0.102719575,0.44583225,5.317492224276066
0.27085766,0.29543075,0.37109318,0.06261838,7.364256829023361
0.29948393,0.2316265,0.13614619,0.33274338,7.806016504764557
0.328468,0.17223077,0.06339868,0.43590254,6.9843995571136475
0.43285066,0.01859751,0.102719575,0.44583225,5.317492224276066
0.241997,0.1938236,0.23273899,0.33144045,3.9554554224014282
0.3200513,0.31981954,0.17611076,0.18401836,4.1677480936050415
0.38377395,0.008874378,0.29655877,0.31079292,0.41161417961120605
0.18581784,0.3323326,0.31556773,0.1662818,2.021051347255707
0.37581766,0.07676999,0.15555243,0.39185983,7.2712694108486176
0.25361252,0.21402304,0.29353097,0.23883349,4.383018612861633
0.29224968,0.31319413,0.32316816,0.071388066,6.1444369703531265
0.32393822,0.21560733,0.22393587,0.23651859,5.475115291774273
0.31086472,0.31180924,0.1912606,0.18606545,1.3229721784591675
0.30181518,0.3329048,0.011267003,0.35401303,2.7860529720783234
0.65096277,0.1052962,0.079085365,0.16465558,1.583399772644043
0.14760783,0.6060554,0.16392134,0.08241546,6.719329357147217
0.4715894,0.034185413,0.2870078,0.20721743,3.824935182929039
0.29948393,0.2316265,0.13614619,0.33274338,7.806016504764557
0.21424912,0.381376,0.2865169,0.117858015,7.552478313446045
0.078827,0.27824736,0.30163231,0.3412933,2.6629674434661865
0.38377395,0.008874378,0.29655877,0.31079292,0.41161417961120605
0.23885341,0.29319513,0.14968023,0.31827125,7.831248044967651
0.4551808,0.11272137,0.19150361,0.24059421,5.727656111121178
0.09973566,0.26169392,0.56334436,0.07522601,1.3690778613090515
0.29948393,0.2316265,0.13614619,0.33274338,7.806016504764557
